"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","4112","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"1728","","","1","0","0A08h","0","0","0","1","0","0","0","0","0","1","0","1","0","0"
"1736","","","1","0","0A7Fh","1","1","1","1","1","1","1","0","0","1","0","1","0","0"
"1744","","","1","0","0AEFh","1","1","1","1","0","1","1","1","0","1","0","1","0","0"
"1752","","","1","0","0B67h","1","1","1","0","0","1","1","0","1","1","0","1","0","0"
"1760","","","1","0","0BDFh","1","1","1","1","1","0","1","1","1","1","0","1","0","0"
"1768","","","1","0","0C4Fh","1","1","1","1","0","0","1","0","0","0","1","1","0","0"
"1776","","","1","0","0CC4h","0","0","1","0","0","0","1","1","0","0","1","1","0","0"
"1784","","","1","0","0D38h","0","0","0","1","1","1","0","0","1","0","1","1","0","0"
"1792","","","1","0","0DACh","0","0","1","1","0","1","0","1","1","0","1","1","0","0"
"1800","","","1","0","0E22h","0","1","0","0","0","1","0","0","0","1","1","1","0","0"
"1808","","","1","0","0E95h","1","0","1","0","1","0","0","1","0","1","1","1","0","0"
"1816","","","1","0","0F10h","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1824","","","1","0","0F84h","0","0","1","0","0","0","0","1","1","1","1","1","0","0"
"1832","","","1","0","0FFBh","1","1","0","1","1","1","1","1","1","1","1","1","0","0"
"1840","","","1","0","106Ch","0","0","1","1","0","1","1","0","0","0","0","0","1","0"
"1848","","","1","0","10E5h","1","0","1","0","0","1","1","1","0","0","0","0","1","0"
"1856","","","1","0","115Ch","0","0","1","1","1","0","1","0","1","0","0","0","1","0"
"1864","","","1","0","11CDh","1","0","1","1","0","0","1","1","1","0","0","0","1","0"
"1872","","","1","0","1243h","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"1880","","","1","0","12B8h","0","0","0","1","1","1","0","1","0","1","0","0","1","0"
"1888","","","1","0","1330h","0","0","0","0","1","1","0","0","1","1","0","0","1","0"
"1896","","","1","0","13A5h","1","0","1","0","0","1","0","1","1","1","0","0","1","0"
"1904","","","1","0","1418h","0","0","0","1","1","0","0","0","0","0","1","0","1","0"
"1912","","","1","0","148Fh","1","1","1","1","0","0","0","1","0","0","1","0","1","0"
"1920","","","1","0","1504h","0","0","1","0","0","0","0","0","1","0","1","0","1","0"
