"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1022","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"346","","","1","0","0E9Dh","1","0","1","1","1","0","0","1","0","1","1","1","0","0"
"348","","","1","0","0E7Fh","1","1","1","1","1","1","1","0","0","1","1","1","0","0"
"350","","","1","0","0E64h","0","0","1","0","0","1","1","0","0","1","1","1","0","0"
"352","","","1","0","0E48h","0","0","0","1","0","0","1","0","0","1","1","1","0","0"
"354","","","1","0","0E2Ch","0","0","1","1","0","1","0","0","0","1","1","1","0","0"
"356","","","1","0","0E0Fh","1","1","1","1","0","0","0","0","0","1","1","1","0","0"
"358","","","1","0","0DF0h","0","0","0","0","1","1","1","1","1","0","1","1","0","0"
"360","","","1","0","0DD0h","0","0","0","0","1","0","1","1","1","0","1","1","0","0"
"362","","","1","0","0DB3h","1","1","0","0","1","1","0","1","1","0","1","1","0","0"
"364","","","1","0","0D96h","0","1","1","0","1","0","0","1","1","0","1","1","0","0"
"366","","","1","0","0D7Ah","0","1","0","1","1","1","1","0","1","0","1","1","0","0"
"368","","","1","0","0D5Bh","1","1","0","1","1","0","1","0","1","0","1","1","0","0"
"370","","","1","0","0D3Ch","0","0","1","1","1","1","0","0","1","0","1","1","0","0"
"372","","","1","0","0D1Fh","1","1","1","1","1","0","0","0","1","0","1","1","0","0"
"374","","","1","0","0D04h","0","0","1","0","0","0","0","0","1","0","1","1","0","0"
"376","","","1","0","0CECh","0","0","1","1","0","1","1","1","0","0","1","1","0","0"
"378","","","1","0","0CCCh","0","0","1","1","0","0","1","1","0","0","1","1","0","0"
"380","","","1","0","0CABh","1","1","0","1","0","1","0","1","0","0","1","1","0","0"
"382","","","1","0","0C8Eh","0","1","1","1","0","0","0","1","0","0","1","1","0","0"
"384","","","1","0","0C77h","1","1","1","0","1","1","1","0","0","0","1","1","0","0"
"386","","","1","0","0C5Ah","0","1","0","1","1","0","1","0","0","0","1","1","0","0"
"388","","","1","0","0C3Ch","0","0","1","1","1","1","0","0","0","0","1","1","0","0"
"390","","","1","0","0C1Ah","0","1","0","1","1","0","0","0","0","0","1","1","0","0"
"392","","","1","0","0BF9h","1","0","0","1","1","1","1","1","1","1","0","1","0","0"
"394","","","1","0","0BE2h","0","1","0","0","0","1","1","1","1","1","0","1","0","0"
"396","","","1","0","0BC6h","0","1","1","0","0","0","1","1","1","1","0","1","0","0"
"398","","","1","0","0BACh","0","0","1","1","0","1","0","1","1","1","0","1","0","0"
