y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.91025e-05
          ,          ,            ,          ,          ,         offset(orig)=   4.87118
          ,          ,            ,          ,          ,                  P(atm)=759.065
          ,          ,            ,          ,          ,             P(cav_open)=758.597
    0.2108,   19.6303,1491957365.9,  116.5227,   -6.4602,                                
    0.2098,   19.5191,1491957369.7,  116.5227,   -6.4602,                                
    0.2082,   19.4074,1491957373.6,  116.5227,   -6.4602,                                
    0.2050,   19.2946,1491957377.5,  116.5227,   -6.4602,                                
    0.2043,   19.1901,1491957381.5,  116.5158,   -6.4528,                                
    0.2093,   19.0859,1491957385.4,  116.5158,   -6.4528,                                
    0.2071,   18.9830,1491957389.5,  116.5158,   -6.4528,                                
    0.2094,   18.8814,1491957393.4,  116.5158,   -6.4528,                                
    0.2040,   18.7794,1491957397.4,  116.5158,   -6.4528,                                
    0.1978,   18.6912,1491957401.2,  116.4854,   -6.4205,                                
    0.1993,   18.6024,1491957405.2,  116.4854,   -6.4205,                                
    0.1965,   18.5061,1491957409.1,  116.4854,   -6.4205,                                
    0.1972,   18.4197,1491957413.2,  116.4854,   -6.4205,                                
    0.1964,   18.3402,1491957417.0,  116.4854,   -6.4205,                                
    0.1988,   18.2580,1491957420.9,  116.4737,   -6.4081,                                
    0.1994,   18.1794,1491957424.8,  116.4737,   -6.4081,                                
    0.2000,   18.0997,1491957428.8,  116.4737,   -6.4081,                                
    0.1985,   18.0200,1491957432.6,  116.4737,   -6.4081,                                
    0.1952,   17.9477,1491957436.4,  116.4737,   -6.4081,                                
    0.1907,   17.8848,1491957440.2,  116.4737,   -6.4081,                                
    0.1944,   17.8174,1491957444.1,  116.4737,   -6.4081,                                
    0.1944,   17.7514,1491957447.8,  116.4490,   -6.3821,                                
    0.1923,   17.6764,1491957451.7,  116.4490,   -6.3821,                                
    0.1893,   17.6225,1491957455.6,  116.4490,   -6.3821,                                
    0.1894,   17.5545,1491957459.4,  116.4490,   -6.3821,                                
    0.1918,   17.4981,1491957463.1,  116.4490,   -6.3821,                                
    0.1947,   17.4390,1491957467.0,  116.4490,   -6.3821,                                
    0.1930,   17.3714,1491957470.9,  116.4490,   -6.3821,                                
    0.1908,   17.3164,1491957474.8,  116.4485,   -6.3815,                                
    0.1910,   17.2611,1491957478.7,  116.4485,   -6.3815,                                
    0.1936,   17.2061,1491957482.9,  116.4485,   -6.3815,                                
    0.1918,   17.1561,1491957486.7,  116.4485,   -6.3815,                                
    0.1877,   17.0994,1491957490.5,  116.4485,   -6.3815,                                
    0.1856,   17.0476,1491957494.2,  116.4485,   -6.3815,                                
    0.1877,   16.9908,1491957498.1,  116.4485,   -6.3815,                                
    0.1817,   16.9528,1491957501.9,  116.4485,   -6.3815,                                
    0.1891,   16.9035,1491957505.7,  116.4485,   -6.3815,                                
    0.1882,   16.8664,1491957509.5,  116.4333,   -6.3655,                                
    0.1848,   16.8161,1491957513.4,  116.4333,   -6.3655,                                
    0.1824,   16.7737,1491957517.3,  116.4333,   -6.3655,                                
    0.1838,   16.7331,1491957521.2,  116.4333,   -6.3655,                                
    0.1862,   16.6807,1491957525.0,  116.4333,   -6.3655,                                
    0.1870,   16.6473,1491957529.0,  116.4333,   -6.3655,                                
    0.1856,   16.6096,1491957532.6,  116.4333,   -6.3655,                                
    0.1809,   16.5640,1491957536.4,  116.4333,   -6.3655,                                
    0.1731,   16.5288,1491957540.3,  116.4333,   -6.3655,                                
    0.1871,   16.4843,1491957544.2,  116.4333,   -6.3655,                                
    0.1779,   16.4616,1491957547.8,  116.4333,   -6.3655,                                
    0.1767,   16.4318,1491957551.5,  116.4336,   -6.3658,                                
    0.1827,   16.3925,1491957555.3,  116.4336,   -6.3658,                                
    0.1791,   16.3643,1491957559.2,  116.4336,   -6.3658,                                
    0.1842,   16.3239,1491957563.1,  116.4336,   -6.3658,                                
    0.1758,   16.2826,1491957567.2,  116.4336,   -6.3658,                                
    0.1808,   16.2603,1491957570.9,  116.4336,   -6.3658,                                
    0.1813,   16.2241,1491957574.7,  116.4336,   -6.3658,                                
    0.1800,   16.1970,1491957578.6,  116.4336,   -6.3658,                                
    0.1753,   16.1651,1491957582.7,  116.4336,   -6.3658,                                
    0.1739,   16.1383,1491957586.6,  116.4336,   -6.3658,                                
    0.1793,   16.1051,1491957590.6,  116.4336,   -6.3658,                                
    0.1790,   16.0771,1491957594.7,  116.4336,   -6.3658,                                
    0.1759,   16.0470,1491957598.8,  116.4336,   -6.3658,                                
    0.1742,   16.0166,1491957602.6,  116.4336,   -6.3658,                                
    0.1768,   16.0051,1491957606.5,  116.4336,   -6.3658,                                
    0.1741,   15.9710,1491957610.4,  116.4100,   -6.3410,                                
    0.1742,   15.9494,1491957614.3,  116.4100,   -6.3410,                                
    0.1818,   15.9133,1491957618.1,  116.4100,   -6.3410,                                
    0.1779,   15.8892,1491957622.0,  116.4100,   -6.3410,                                
    0.1817,   15.8788,1491957625.9,  116.4100,   -6.3410,                                
    0.1765,   15.8490,1491957629.8,  116.4100,   -6.3410,                                
    0.1738,   15.8358,1491957633.6,  116.4100,   -6.3410,                                
    0.1727,   15.8093,1491957637.5,  116.4100,   -6.3410,                                
    0.1781,   15.7908,1491957641.4,  116.4100,   -6.3410,                                
    0.1746,   15.7707,1491957645.4,  116.4100,   -6.3410,                                
    0.1722,   15.7459,1491957649.2,  116.4100,   -6.3410,                                
    0.1747,   15.7203,1491957653.2,  116.4100,   -6.3410,                                
    0.1745,   15.7116,1491957657.1,  116.4100,   -6.3410,                                
    0.1753,   15.6906,1491957661.0,  116.4100,   -6.3410,                                
    0.1769,   15.6734,1491957664.9,  116.4100,   -6.3410,                                
    0.1766,   15.6434,1491957668.8,  116.4100,   -6.3410,                                
    0.1702,   15.6201,1491957672.7,  116.4100,   -6.3410,                                
    0.1722,   15.6063,1491957676.6,  116.4100,   -6.3410,                                
    0.1694,   15.6026,1491957680.6,  116.4100,   -6.3410,                                
    0.1767,   15.5908,1491957684.5,  116.4100,   -6.3410,                                
    0.1735,   15.5880,1491957688.4,  116.4100,   -6.3410,                                
    0.1780,   15.5635,1491957692.5,  116.4100,   -6.3410,                                
    0.1725,   15.5395,1491957696.5,  116.4100,   -6.3410,                                
    0.1770,   15.5153,1491957700.7,  116.4070,   -6.3378,                                
    0.1776,   15.4909,1491957704.4,  116.4070,   -6.3378,                                
    0.1680,   15.4735,1491957708.1,  116.4070,   -6.3378,                                
    0.1739,   15.4727,1491957711.9,  116.4070,   -6.3378,                                
    0.1735,   15.4642,1491957715.7,  116.4070,   -6.3378,                                
    0.1699,   15.4408,1491957719.5,  116.4070,   -6.3378,                                
    0.1723,   15.4257,1491957723.4,  116.4070,   -6.3378,                                
    0.1707,   15.4227,1491957727.4,  116.4070,   -6.3378,                                
    0.1759,   15.4015,1491957731.5,  116.4070,   -6.3378,                                
    0.1714,   15.3975,1491957735.3,  116.4070,   -6.3378,                                
    0.1745,   15.3726,1491957739.1,  116.4070,   -6.3378,                                
