EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423453.467            0                         963                       -7.7910663335E+000        -3.4525846937E+001        2.7642461101E+000         5.0000000000E+000         3.7379709974E+001         -1.2197788136E+002        1.0000000000E+000         
1321423453.986            0                         963                       -1.1562444403E+001        -3.2914244313E+001        2.7709269480E+000         5.0000000000E+000         3.7379555117E+001         -1.2197788162E+002        1.0000000000E+000         
1321423454.602            0                         963                       -1.1562444403E+001        -3.2914244313E+001        2.7709269480E+000         5.0000000000E+000         3.7379388414E+001         -1.2197788237E+002        1.0000000000E+000         
1321423455.546            0                         963                       -1.0386627034E+001        -3.4818224409E+001        2.7786909946E+000         5.0000000000E+000         3.7379217379E+001         -1.2197788273E+002        1.0000000000E+000         
1321423456.501            0                         963                       -1.1878364331E+001        -3.4589330946E+001        2.7814825689E+000         5.0000000000E+000         3.7379040203E+001         -1.2197788289E+002        1.0000000000E+000         
1321423457.441            0                         963                       -2.0389715681E+001        -3.9874592762E+001        2.7841503438E+000         5.0000000000E+000         3.7378866708E+001         -1.2197788217E+002        1.0000000000E+000         
1321423458.383            0                         963                       -2.4910988577E+001        -3.7626884006E+001        2.7863610131E+000         5.0000000000E+000         3.7378692785E+001         -1.2197788282E+002        1.0000000000E+000         
1321423459.330            0                         963                       -1.7146488451E+001        -3.2451317527E+001        2.7894197646E+000         5.0000000000E+000         3.7378521580E+001         -1.2197788396E+002        1.0000000000E+000         
1321423459.822            0                         963                       -1.8454814099E+001        -3.4072195399E+001        2.7920887831E+000         5.0000000000E+000         3.7378348527E+001         -1.2197788501E+002        1.0000000000E+000         
1321423460.431            0                         963                       -1.8454814099E+001        -3.4072195399E+001        2.7920887831E+000         5.0000000000E+000         3.7378174058E+001         -1.2197788643E+002        1.0000000000E+000         
1321423461.351            0                         963                       -2.0822512970E+001        -4.0710601829E+001        2.7970867184E+000         5.0000000000E+000         3.7378006218E+001         -1.2197788837E+002        1.0000000000E+000         
1321423462.302            0                         963                       -1.6295070970E+001        -3.4860161619E+001        2.8016200514E+000         5.0000000000E+000         3.7377838503E+001         -1.2197789019E+002        1.0000000000E+000         
1321423463.256            0                         963                       -2.1059078662E+001        -3.6099715491E+001        2.8098757541E+000         5.0000000000E+000         3.7377661003E+001         -1.2197789154E+002        1.0000000000E+000         
1321423464.186            0                         963                       -1.1509159133E+001        -3.2490642472E+001        2.8211141991E+000         5.0000000000E+000         3.7377491113E+001         -1.2197789261E+002        1.0000000000E+000         
1321423465.239            0                         963                       -2.2897345916E+001        -4.0975772010E+001        2.8333822339E+000         5.0000000000E+000         3.7377325706E+001         -1.2197789369E+002        1.0000000000E+000         
1321423465.783            0                         963                       -2.4416021466E+001        -4.1085234813E+001        2.8525974031E+000         5.0000000000E+000         3.7377173409E+001         -1.2197789561E+002        1.0000000000E+000         
1321423466.398            0                         963                       -2.4416021466E+001        -4.1085234813E+001        2.8525974031E+000         5.0000000000E+000         3.7377023381E+001         -1.2197789704E+002        1.0000000000E+000         
