EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1316252980.067            0                         -1.2244280519e+02         3.7783025972e+01          2.0003287613e+00          
1316252981.200            0                         -1.2244281549e+02         3.7783055298e+01          1.9653442255e+00          
1316252982.355            0                         -1.2244282640e+02         3.7783087813e+01          1.9429953519e+00          
1316252983.511            0                         -1.2244283843e+02         3.7783124463e+01          1.9265847755e+00          
1316252984.564            0                         -1.2244284909e+02         3.7783160359e+01          1.9190947270e+00          
1316252985.652            0                         -1.2244285893e+02         3.7783198519e+01          1.9203927480e+00          
1316252986.798            0                         -1.2244286827e+02         3.7783237934e+01          1.9206541727e+00          
1316252987.996            0                         -1.2244287779e+02         3.7783278432e+01          1.9137225243e+00          
1316252989.105            0                         -1.2244288574e+02         3.7783316891e+01          1.9080956089e+00          
1316252990.236            0                         -1.2244289290e+02         3.7783357973e+01          1.9055755840e+00          
1316252991.380            0                         -1.2244290128e+02         3.7783400920e+01          1.9033807605e+00          
1316252992.507            0                         -1.2244290763e+02         3.7783443345e+01          1.9027312939e+00          
1316252993.622            0                         -1.2244291561e+02         3.7783484181e+01          1.8999862408e+00          
1316252994.706            0                         -1.2244292373e+02         3.7783523492e+01          1.8994031640e+00          
1316252995.857            0                         -1.2244293357e+02         3.7783567135e+01          1.8992258130e+00          
1316252997.004            0                         -1.2244294420e+02         3.7783611482e+01          1.8964427304e+00          
1316252998.150            0                         -1.2244295419e+02         3.7783654276e+01          1.8940483493e+00          
1316252999.294            0                         -1.2244296265e+02         3.7783693402e+01          1.8941866261e+00          
1316253000.401            0                         -1.2244296912e+02         3.7783728314e+01          1.8938858363e+00          
1316253001.563            0                         -1.2244297324e+02         3.7783759883e+01          1.8931283389e+00          
1316253002.662            0                         -1.2244297382e+02         3.7783784533e+01          1.8920982193e+00          
1316253003.728            0                         -1.2244297157e+02         3.7783805878e+01          1.8934657678e+00          
1316253004.880            0                         -1.2244296588e+02         3.7783828357e+01          1.8948198144e+00          
1316253006.029            0                         -1.2244295617e+02         3.7783849165e+01          1.8964686118e+00          
1316253007.190            0                         -1.2244294153e+02         3.7783868542e+01          1.9101966881e+00          
1316253008.353            0                         -1.2244291679e+02         3.7783886638e+01          1.9180742699e+00          
1316253009.458            0                         -1.2244288175e+02         3.7783899599e+01          1.9108221249e+00          
1316253010.588            0                         -1.2244284185e+02         3.7783901800e+01          1.9051575066e+00          
1316253011.746            0                         -1.2244280695e+02         3.7783895615e+01          1.8975267752e+00          
1316253012.881            0                         -1.2244277982e+02         3.7783891064e+01          1.8909239712e+00          
1316253013.994            0                         -1.2244276066e+02         3.7783890701e+01          1.8888860735e+00          
