"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1278","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"274","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"276","","","1","0","0353h","1","1","0","0","1","0","1","0","1","1","0","0","0","0"
"278","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"280","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"284","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"286","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"288","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"290","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"292","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"296","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"300","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"302","","","1","0","034Bh","1","1","0","1","0","0","1","0","1","1","0","0","0","0"
"304","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"306","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"308","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"310","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"312","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"314","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"316","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"320","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
