y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.93792e-05
          ,          ,            ,          ,          ,         offset(orig)=   7.01238
          ,          ,            ,          ,          ,                  P(atm)=767.315
          ,          ,            ,          ,          ,             P(cav_open)=777.905
    0.7597,  158.7547,1492713608.3,  206.0485,    0.9200,                                
    0.7635,  158.5339,1492713609.6,  205.9990,    0.9647,                                
    0.7629,  158.3046,1492713611.0,  205.9544,    1.0050,                                
    0.7649,  158.0640,1492713612.3,  205.8763,    1.0754,                                
    0.7593,  157.8217,1492713613.7,  206.1010,    0.8723,                                
    0.7605,  157.5740,1492713615.2,  206.1010,    0.8723,                                
    0.7628,  157.3263,1492713616.6,  206.1010,    0.8723,                                
    0.7518,  157.0781,1492713618.0,  205.7797,    1.1615,                                
    0.7606,  156.8265,1492713619.5,  205.7797,    1.1615,                                
    0.7539,  156.5814,1492713620.9,  205.7125,    1.2220,                                
    0.7446,  156.3546,1492713622.2,  205.4935,    1.4240,                                
    0.7526,  156.1084,1492713623.6,  205.3595,    1.5442,                                
    0.7503,  155.8641,1492713625.0,  205.2676,    1.6265,                                
    0.7528,  155.6268,1492713626.4,  205.2420,    1.6495,                                
    0.7488,  155.3864,1492713627.7,  205.2420,    1.6495,                                
    0.7466,  155.1501,1492713629.1,  205.3387,    1.5628,                                
    0.7450,  154.9188,1492713630.5,  205.3387,    1.5628,                                
    0.7429,  154.6984,1492713631.7,  205.3387,    1.5628,                                
    0.7448,  154.4626,1492713633.1,  205.4133,    1.4959,                                
    0.7479,  154.2311,1492713634.4,  205.4133,    1.4959,                                
    0.7375,  153.9908,1492713635.8,  204.6297,    2.1937,                                
    0.7459,  153.7508,1492713637.2,  204.6386,    2.1857,                                
    0.7345,  153.5038,1492713638.6,  204.7932,    2.0474,                                
    0.7358,  153.2650,1492713640.0,  204.6731,    2.1545,                                
    0.7354,  153.0109,1492713641.5,  204.6731,    2.1545,                                
    0.7322,  152.7639,1492713642.9,  204.6526,    2.1728,                                
