EPOCH_TIME                ALARM_STATUS              CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1316238611.898            0                         1.8182433765E+000         2.1011000000E+004         3.7640675184E+001         6.4067518409E-001         -1.2240562952E+002        -4.0562952255E-001        2.0000000000E+000         
1316238612.975            0                         1.8203836706E+000         2.1012000000E+004         3.7640931060E+001         6.4093106050E-001         -1.2240568887E+002        -4.0568887406E-001        2.0000000000E+000         
1316238614.071            0                         1.8213600448E+000         2.1013000000E+004         3.7641194542E+001         6.4119454234E-001         -1.2240574267E+002        -4.0574266844E-001        2.0000000000E+000         
1316238615.189            0                         1.8201291246E+000         2.1015000000E+004         3.7641466231E+001         6.4146623101E-001         -1.2240579281E+002        -4.0579281488E-001        2.0000000000E+000         
1316238616.313            0                         1.8180908958E+000         2.1016000000E+004         3.7641741040E+001         6.4174104006E-001         -1.2240583679E+002        -4.0583678655E-001        2.0000000000E+000         
1316238617.403            0                         1.8196719173E+000         2.1017000000E+004         3.7642007531E+001         6.4200753066E-001         -1.2240587459E+002        -4.0587459374E-001        2.0000000000E+000         
1316238618.520            0                         1.8181137575E+000         2.1018000000E+004         3.7642282654E+001         6.4228265370E-001         -1.2240590812E+002        -4.0590812271E-001        2.0000000000E+000         
1316238619.608            0                         1.8186967714E+000         2.1019000000E+004         3.7642554407E+001         6.4255440724E-001         -1.2240593422E+002        -4.0593422381E-001        2.0000000000E+000         
1316238620.697            0                         1.8267925225E+000         2.1020000000E+004         3.7642828115E+001         6.4282811484E-001         -1.2240595767E+002        -4.0595767454E-001        2.0000000000E+000         
1316238621.766            0                         1.8348020035E+000         2.1021000000E+004         3.7643097100E+001         6.4309710020E-001         -1.2240598066E+002        -4.0598066306E-001        2.0000000000E+000         
1316238622.792            0                         1.8409131903E+000         2.1022000000E+004         3.7643355098E+001         6.4335509833E-001         -1.2240600212E+002        -4.0600211513E-001        2.0000000000E+000         
1316238623.864            0                         1.8426875848E+000         2.1023000000E+004         3.7643624526E+001         6.4362452568E-001         -1.2240602244E+002        -4.0602244117E-001        2.0000000000E+000         
1316238624.972            0                         1.8430914595E+000         2.1024000000E+004         3.7643902730E+001         6.4390273010E-001         -1.2240604371E+002        -4.0604371046E-001        2.0000000000E+000         
1316238626.074            0                         1.8382181367E+000         2.1025000000E+004         3.7644178474E+001         6.4417847391E-001         -1.2240606939E+002        -4.0606938509E-001        2.0000000000E+000         
1316238627.146            0                         1.8395883113E+000         2.1027000000E+004         3.7644446015E+001         6.4444601479E-001         -1.2240609733E+002        -4.0609732657E-001        2.0000000000E+000         
