EPOCH_TIME                ALARM_STATUS              INST_STATUS               13CH4                     C13_Delta_Raw             CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1319755958.191            0                         963                       2.7788246224E-002         -4.2426021046E+001        2.3097406528E+000         8.2358000000E+004         3.7403454391E+001         4.0345439144E-001         -1.2198434194E+002        -9.8434193509E-001        2.0000000000E+000         
1319755958.594            0                         963                       2.7905892708E-002         -4.4782620958E+001        2.3097406528E+000         8.2358000000E+004         3.7403473847E+001         4.0347384694E-001         -1.2198434780E+002        -9.8434779612E-001        2.0000000000E+000         
1319755959.000            0                         963                       2.7905892708E-002         -4.4782620958E+001        2.3097406528E+000         8.2359000000E+004         3.7403493045E+001         4.0349304514E-001         -1.2198435474E+002        -9.8435473878E-001        2.0000000000E+000         
1319755959.474            0                         963                       2.7725129241E-002         -4.4782620958E+001        2.3097406528E+000         8.2359000000E+004         3.7403514195E+001         4.0351419550E-001         -1.2198436611E+002        -9.8436610522E-001        2.0000000000E+000         
1319755960.069            0                         963                       2.7725129241E-002         -4.4782620958E+001        2.3132055965E+000         8.2360000000E+004         3.7403540741E+001         4.0354074061E-001         -1.2198438349E+002        -9.8438348821E-001        2.0000000000E+000         
1319755960.555            0                         963                       2.7899492356E-002         -4.8254996058E+001        2.3132055965E+000         8.2360000000E+004         3.7403562415E+001         4.0356241451E-001         -1.2198440360E+002        -9.8440359986E-001        2.0000000000E+000         
1319755961.137            0                         963                       2.7899492356E-002         -4.8254996058E+001        2.3129168866E+000         8.2361000000E+004         3.7403587065E+001         4.0358706469E-001         -1.2198443287E+002        -9.8443287016E-001        2.0000000000E+000         
1319755961.598            0                         963                       2.7825117977E-002         -4.6187981143E+001        2.3129168866E+000         8.2361000000E+004         3.7403605188E+001         4.0360518806E-001         -1.2198446163E+002        -9.8446162634E-001        2.0000000000E+000         
1319755962.181            0                         963                       2.7825117977E-002         -4.6187981143E+001        2.3136181510E+000         8.2362000000E+004         3.7403624613E+001         4.0362461253E-001         -1.2198450336E+002        -9.8450335997E-001        2.0000000000E+000         
1319755962.659            0                         963                       2.7828493808E-002         -4.7670966963E+001        2.3136181510E+000         8.2362000000E+004         3.7403637663E+001         4.0363766312E-001         -1.2198454199E+002        -9.8454199304E-001        2.0000000000E+000         
1319755963.239            0                         963                       2.7828493808E-002         -4.7670966963E+001        2.3185343454E+000         8.2363000000E+004         3.7403649111E+001         4.0364911135E-001         -1.2198459377E+002        -9.8459376862E-001        2.0000000000E+000         
1319755963.712            0                         963                       2.7961947275E-002         -4.7075253124E+001        2.3185343454E+000         8.2363000000E+004         3.7403656079E+001         4.0365607943E-001         -1.2198463864E+002        -9.8463863669E-001        2.0000000000E+000         
